"","ME","RMSE","MAE","MPE","MAPE","ACF1","Theil's U"
"NN24",4362.75173606244,7731.01350564583,6161.22145759616,8.08615503082516,11.277362638492,0.913309321386706,2.6602900607526
"NN26",5245.00472568784,7752.32689319424,6367.27043852491,9.54622704896619,11.515760198997,0.889948021039208,2.6440361121269
"NN36",4393.75461850142,7606.07298853627,6084.01919269873,8.14945982130679,11.1601089683253,0.905542369617518,2.62815461073347
"SARIMA",1891.98746865134,3125.67129141811,2638.37680038792,3.61048310579924,4.86036144030926,-0.0628764827471298,0.59759398254706
"SSES",1183.08332000745,2929.55868408643,2383.27027830408,2.31508421854015,4.38636436819381,-0.0269585556208341,0.55749924449936
"SSBM",-21702.9176045608,28172.5794863043,22554.9352941494,-42.7707922625096,44.2344365791038,0.812469620907656,5.64407446766425
"STL+ETS",4320.59494687448,6453.93955346517,4992.94293153875,7.5768796106444,8.8521964333878,0.837768587848252,2.13999498242738
"TBATS",2905.5993982344,5794.0564182361,4369.83987467228,5.03801447642489,7.80851245043089,0.860708482014955,1.94379620755635
"AF23",1458.26846313714,5148.58777100567,3746.58645690773,2.3110144010779,6.68713003350855,0.854236158312892,1.72536199214259
"AF24",1521.09822268278,5166.95823105332,3756.29980852674,2.42856217250439,6.7084271614876,0.854135918769602,1.73281809930939
"AF26",1545.02983180638,5166.77899221383,3745.85649429251,2.4741079271846,6.68810369577825,0.853736865970313,1.73142623805234
"AF36",1514.69606607154,5155.77440312582,3732.1655621215,2.4189677592807,6.66264130233436,0.856206846684123,1.72704408725676
