interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,coal_and_lignite,hydro,nuclear,power_storage,solar,wind,natural_gas,other
2019-01-01T00:00:00-06:00,2019-01-01 06:00:00+00:00,2019-01-02T00:00:00-06:00,2019-01-02 06:00:00+00:00,9814.39248025,203.969561333333,3892.84820924999,0,61.913978625,7340.729662875,19818.904052625,2.23507175
2019-01-02T00:00:00-06:00,2019-01-02 06:00:00+00:00,2019-01-03T00:00:00-06:00,2019-01-03 06:00:00+00:00,11543.210944375,242.129538083333,3892.788721,0,42.7753472916666,1860.295532875,29544.5755795,2.33300308333333
2019-01-03T00:00:00-06:00,2019-01-03 06:00:00+00:00,2019-01-04T00:00:00-06:00,2019-01-04 06:00:00+00:00,10240.6397874167,284.909523,3896.77656183333,0,390.948677333333,4698.21532704167,26483.7616420417,1.29980866666667
2019-01-04T00:00:00-06:00,2019-01-04 06:00:00+00:00,2019-01-05T00:00:00-06:00,2019-01-05 06:00:00+00:00,8285.52615295834,277.413671166667,3892.81276733333,0,451.06043225,4932.45112366666,24500.2147591667,1.787816625
2019-01-05T00:00:00-06:00,2019-01-05 06:00:00+00:00,2019-01-06T00:00:00-06:00,2019-01-06 06:00:00+00:00,7724.91676795833,271.707108500001,3892.71869570834,0,409.301552083333,7318.750162125,18069.5508524167,1.52853091666667
2019-01-06T00:00:00-06:00,2019-01-06 06:00:00+00:00,2019-01-07T00:00:00-06:00,2019-01-07 06:00:00+00:00,5719.17521662501,272.448664375,3892.22945595834,0,173.55212075,15795.22832925,8874.85876008334,1.73365425
2019-01-07T00:00:00-06:00,2019-01-07 06:00:00+00:00,2019-01-08T00:00:00-06:00,2019-01-08 06:00:00+00:00,7131.08655674999,295.235754416666,3886.21333070833,0,372.49429075,10062.6828597917,13162.1996678333,1.87210241666667
2019-01-08T00:00:00-06:00,2019-01-08 06:00:00+00:00,2019-01-09T00:00:00-06:00,2019-01-09 06:00:00+00:00,7618.53869775,231.925084875,3854.63957120834,0,279.677377583333,8770.00201170835,14975.4362228333,2.41912791666667
2019-01-09T00:00:00-06:00,2019-01-09 06:00:00+00:00,2019-01-10T00:00:00-06:00,2019-01-10 06:00:00+00:00,8261.67854558333,226.992048166667,3849.02019779167,0,194.616207958333,5199.24502579167,19397.12921975,1.95709020833333
2019-01-10T00:00:00-06:00,2019-01-10 06:00:00+00:00,2019-01-11T00:00:00-06:00,2019-01-11 06:00:00+00:00,7945.27490825001,227.810693708333,3851.888542625,0,284.541670416667,10061.5303264167,16607.8200924166,3.07638854166667
2019-01-11T00:00:00-06:00,2019-01-11 06:00:00+00:00,2019-01-12T00:00:00-06:00,2019-01-12 06:00:00+00:00,8360.20797912499,224.898211875,3848.793097,0,137.521589291667,12487.9666195833,13301.1618770834,1.77105070833333
2019-01-12T00:00:00-06:00,2019-01-12 06:00:00+00:00,2019-01-13T00:00:00-06:00,2019-01-13 06:00:00+00:00,8118.72239254167,224.202964541667,3852.95748991667,0,394.901204291667,10369.1825542083,13882.0161888333,5.06480591666667
