interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,load
2020-01-01T00:00:00-06:00,2020-01-01 06:00:00+00:00,2020-01-02T00:00:00-06:00,2020-01-02 06:00:00+00:00,38308.871527777778
2020-01-02T00:00:00-06:00,2020-01-02 06:00:00+00:00,2020-01-03T00:00:00-06:00,2020-01-03 06:00:00+00:00,37517.715277777778
2020-01-03T00:00:00-06:00,2020-01-03 06:00:00+00:00,2020-01-04T00:00:00-06:00,2020-01-04 06:00:00+00:00,37863.934027777778
2020-01-04T00:00:00-06:00,2020-01-04 06:00:00+00:00,2020-01-05T00:00:00-06:00,2020-01-05 06:00:00+00:00,38041.513888888889
2020-01-05T00:00:00-06:00,2020-01-05 06:00:00+00:00,2020-01-06T00:00:00-06:00,2020-01-06 06:00:00+00:00,36443.298611111111
2020-01-06T00:00:00-06:00,2020-01-06 06:00:00+00:00,2020-01-07T00:00:00-06:00,2020-01-07 06:00:00+00:00,38376.256944444444
2020-01-07T00:00:00-06:00,2020-01-07 06:00:00+00:00,2020-01-08T00:00:00-06:00,2020-01-08 06:00:00+00:00,39025.763888888889
2020-01-08T00:00:00-06:00,2020-01-08 06:00:00+00:00,2020-01-09T00:00:00-06:00,2020-01-09 06:00:00+00:00,40663.604166666667
2020-01-09T00:00:00-06:00,2020-01-09 06:00:00+00:00,2020-01-10T00:00:00-06:00,2020-01-10 06:00:00+00:00,37292.291666666667
2020-01-10T00:00:00-06:00,2020-01-10 06:00:00+00:00,2020-01-11T00:00:00-06:00,2020-01-11 06:00:00+00:00,37349.086805555556
2020-01-11T00:00:00-06:00,2020-01-11 06:00:00+00:00,2020-01-12T00:00:00-06:00,2020-01-12 06:00:00+00:00,39577.819444444444
2020-01-12T00:00:00-06:00,2020-01-12 06:00:00+00:00,2020-01-13T00:00:00-06:00,2020-01-13 06:00:00+00:00,40620.586805555556
2020-01-13T00:00:00-06:00,2020-01-13 06:00:00+00:00,2020-01-14T00:00:00-06:00,2020-01-14 06:00:00+00:00,39529.336805555556
2020-01-14T00:00:00-06:00,2020-01-14 06:00:00+00:00,2020-01-15T00:00:00-06:00,2020-01-15 06:00:00+00:00,37835.156250000000
2020-01-15T00:00:00-06:00,2020-01-15 06:00:00+00:00,2020-01-16T00:00:00-06:00,2020-01-16 06:00:00+00:00,38221.361111111111
2020-01-16T00:00:00-06:00,2020-01-16 06:00:00+00:00,2020-01-17T00:00:00-06:00,2020-01-17 06:00:00+00:00,38974.732638888889
2020-01-17T00:00:00-06:00,2020-01-17 06:00:00+00:00,2020-01-18T00:00:00-06:00,2020-01-18 06:00:00+00:00,38635.774305555556
2020-01-18T00:00:00-06:00,2020-01-18 06:00:00+00:00,2020-01-19T00:00:00-06:00,2020-01-19 06:00:00+00:00,35956.975694444444
2020-01-19T00:00:00-06:00,2020-01-19 06:00:00+00:00,2020-01-20T00:00:00-06:00,2020-01-20 06:00:00+00:00,38607.781250000000
2020-01-20T00:00:00-06:00,2020-01-20 06:00:00+00:00,2020-01-21T00:00:00-06:00,2020-01-21 06:00:00+00:00,41010.722222222222
2020-01-21T00:00:00-06:00,2020-01-21 06:00:00+00:00,2020-01-22T00:00:00-06:00,2020-01-22 06:00:00+00:00,42122.729166666667
2020-01-22T00:00:00-06:00,2020-01-22 06:00:00+00:00,2020-01-23T00:00:00-06:00,2020-01-23 06:00:00+00:00,42667.041666666667
2020-01-23T00:00:00-06:00,2020-01-23 06:00:00+00:00,2020-01-24T00:00:00-06:00,2020-01-24 06:00:00+00:00,39099.170138888889
2020-01-24T00:00:00-06:00,2020-01-24 06:00:00+00:00,2020-01-25T00:00:00-06:00,2020-01-25 06:00:00+00:00,39748.454861111111
2020-01-25T00:00:00-06:00,2020-01-25 06:00:00+00:00,2020-01-26T00:00:00-06:00,2020-01-26 06:00:00+00:00,37809.802083333333
2020-01-26T00:00:00-06:00,2020-01-26 06:00:00+00:00,2020-01-27T00:00:00-06:00,2020-01-27 06:00:00+00:00,34728.659722222222
2020-01-27T00:00:00-06:00,2020-01-27 06:00:00+00:00,2020-01-28T00:00:00-06:00,2020-01-28 06:00:00+00:00,37567.312500000000
2020-01-28T00:00:00-06:00,2020-01-28 06:00:00+00:00,2020-01-29T00:00:00-06:00,2020-01-29 06:00:00+00:00,38611.583333333333
2020-01-29T00:00:00-06:00,2020-01-29 06:00:00+00:00,2020-01-30T00:00:00-06:00,2020-01-30 06:00:00+00:00,41923.340277777778
2020-01-30T00:00:00-06:00,2020-01-30 06:00:00+00:00,2020-01-31T00:00:00-06:00,2020-01-31 06:00:00+00:00,42718.670138888889
2020-01-31T00:00:00-06:00,2020-01-31 06:00:00+00:00,2020-02-01T00:00:00-06:00,2020-02-01 06:00:00+00:00,40255.715277777778
2020-02-01T00:00:00-06:00,2020-02-01 06:00:00+00:00,2020-02-02T00:00:00-06:00,2020-02-02 06:00:00+00:00,38291.656250000000
2020-02-02T00:00:00-06:00,2020-02-02 06:00:00+00:00,2020-02-03T00:00:00-06:00,2020-02-03 06:00:00+00:00,35711.826388888889
2020-02-03T00:00:00-06:00,2020-02-03 06:00:00+00:00,2020-02-04T00:00:00-06:00,2020-02-04 06:00:00+00:00,36240.711805555556
2020-02-04T00:00:00-06:00,2020-02-04 06:00:00+00:00,2020-02-05T00:00:00-06:00,2020-02-05 06:00:00+00:00,38812.812500000000
2020-02-05T00:00:00-06:00,2020-02-05 06:00:00+00:00,2020-02-06T00:00:00-06:00,2020-02-06 06:00:00+00:00,46591.708333333333
2020-02-06T00:00:00-06:00,2020-02-06 06:00:00+00:00,2020-02-07T00:00:00-06:00,2020-02-07 06:00:00+00:00,47350.565972222222
